Area,Latitude_Area,Longitude_Area
Um Esalay,25.235984,55.272766
Al Hebiah Third,25.248535,55.278076
Al Hebiah Fifth,25.248734,55.278076
DUBAI INVESTMENT PARK SECOND,25.218099,55.255546
Trade Center Second,25.224781,55.255158
Um Hurair Second,25.237433,55.26186
Lehbab First,25.238342,55.260803
Al Merkadh,25.224637,55.255158
THE GARDENS,25.0408986,55.1376623
GARDEN VIEW,25.21859,55.255158
Dubai Investment Park First,25.218296,55.255158
AL KHAIL GATE,25.1410828,55.2528615
Al Rowaiyah Third,25.229831,55.270849
Remah,25.228321,55.270849
Lehbab Second,25.23849,55.260803
Al Qusais Industrial Second,25.221481,55.262817
Saih Shuaib 2,24.8948694,54.9384301
Al Yelayiss 1,25.223747,55.258977
